#node	identifier	category	term ID	term description
CCK	9606.ENSP00000379472	TISSUES	BTO:0004953	MGC-803 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0005758	Eca-109 cell
CCK	9606.ENSP00000379472	TISSUES	BTO:0005965	HL-7702 cell
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0005576	Extracellular region
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0005622	Intracellular
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0005737	Cytoplasm
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0009504	Cell plate
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0030424	Axon
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0032991	Protein-containing complex
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0042995	Cell projection
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0043005	Neuron projection
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0120025	Plasma membrane bounded cell projection
CCK	9606.ENSP00000379472	COMPARTMENTS	GOCC:0140224	SLAC complex
CCK	9606.ENSP00000379472	Monarch	EFO:0004302	Anthropometric measurement
CCK	9606.ENSP00000379472	Monarch	EFO:0004324	Body weights and measures
CCK	9606.ENSP00000379472	Monarch	EFO:0004340	Body mass index
CCK	9606.ENSP00000379472	Monarch	EFO:0008002	Physical activity measurement
CCK	9606.ENSP00000379472	Monarch	EFO:0009819	Comparative body size at age 10, self-reported
CCK	9606.ENSP00000379472	UniProt Keywords	KW-0027	Amidation
CCK	9606.ENSP00000379472	UniProt Keywords	KW-0165	Cleavage on pair of basic residues
CCK	9606.ENSP00000379472	UniProt Keywords	KW-0372	Hormone
CCK	9606.ENSP00000379472	UniProt Keywords	KW-0732	Signal
CCK	9606.ENSP00000379472	UniProt Keywords	KW-0765	Sulfation
CCK	9606.ENSP00000379472	UniProt Keywords	KW-0964	Secreted
CCK	9606.ENSP00000379472	InterPro	IPR001651	Gastrin/cholecystokinin peptide hormone
CCK	9606.ENSP00000379472	InterPro	IPR013152	Gastrin/cholecystokinin, conserved site
CCK	9606.ENSP00000379472	InterPro	IPR015499	Cholecystokinin-like
CCK	9606.ENSP00000379472	SMART	SM00029	Gastrin / cholecystokinin / caerulein family
CCKAR	9606.ENSP00000295589	GO Process	GO:0000902	Cell morphogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0000904	Cell morphogenesis involved in differentiation
CCKAR	9606.ENSP00000295589	GO Process	GO:0001764	Neuron migration
CCKAR	9606.ENSP00000295589	GO Process	GO:0007154	Cell communication
CCKAR	9606.ENSP00000295589	GO Process	GO:0007165	Signal transduction
CCKAR	9606.ENSP00000295589	GO Process	GO:0007186	G protein-coupled receptor signaling pathway
CCKAR	9606.ENSP00000295589	GO Process	GO:0007200	Phospholipase C-activating G protein-coupled receptor signaling pathway
CCKAR	9606.ENSP00000295589	GO Process	GO:0007275	Multicellular organism development
CCKAR	9606.ENSP00000295589	GO Process	GO:0007399	Nervous system development
CCKAR	9606.ENSP00000295589	GO Process	GO:0007409	Axonogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0007417	Central nervous system development
CCKAR	9606.ENSP00000295589	GO Process	GO:0007420	Brain development
CCKAR	9606.ENSP00000295589	GO Process	GO:0009653	Anatomical structure morphogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0009987	Cellular process
CCKAR	9606.ENSP00000295589	GO Process	GO:0010646	Regulation of cell communication
CCKAR	9606.ENSP00000295589	GO Process	GO:0010817	Regulation of hormone levels
CCKAR	9606.ENSP00000295589	GO Process	GO:0016043	Cellular component organization
CCKAR	9606.ENSP00000295589	GO Process	GO:0016477	Cell migration
CCKAR	9606.ENSP00000295589	GO Process	GO:0022008	Neurogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0023051	Regulation of signaling
CCKAR	9606.ENSP00000295589	GO Process	GO:0023052	Signaling
CCKAR	9606.ENSP00000295589	GO Process	GO:0030030	Cell projection organization
CCKAR	9606.ENSP00000295589	GO Process	GO:0030154	Cell differentiation
CCKAR	9606.ENSP00000295589	GO Process	GO:0030182	Neuron differentiation
CCKAR	9606.ENSP00000295589	GO Process	GO:0030900	Forebrain development
CCKAR	9606.ENSP00000295589	GO Process	GO:0031175	Neuron projection development
CCKAR	9606.ENSP00000295589	GO Process	GO:0032501	Multicellular organismal process
CCKAR	9606.ENSP00000295589	GO Process	GO:0032502	Developmental process
CCKAR	9606.ENSP00000295589	GO Process	GO:0032879	Regulation of localization
CCKAR	9606.ENSP00000295589	GO Process	GO:0032989	Cellular component morphogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0032990	Cell part morphogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0038188	Cholecystokinin signaling pathway
CCKAR	9606.ENSP00000295589	GO Process	GO:0046883	Regulation of hormone secretion
CCKAR	9606.ENSP00000295589	GO Process	GO:0048468	Cell development
CCKAR	9606.ENSP00000295589	GO Process	GO:0048513	Animal organ development
CCKAR	9606.ENSP00000295589	GO Process	GO:0048666	Neuron development
CCKAR	9606.ENSP00000295589	GO Process	GO:0048667	Cell morphogenesis involved in neuron differentiation
CCKAR	9606.ENSP00000295589	GO Process	GO:0048699	Generation of neurons
CCKAR	9606.ENSP00000295589	GO Process	GO:0048731	System development
CCKAR	9606.ENSP00000295589	GO Process	GO:0048812	Neuron projection morphogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0048856	Anatomical structure development
CCKAR	9606.ENSP00000295589	GO Process	GO:0048858	Cell projection morphogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0048869	Cellular developmental process
CCKAR	9606.ENSP00000295589	GO Process	GO:0048870	Cell motility
CCKAR	9606.ENSP00000295589	GO Process	GO:0050789	Regulation of biological process
CCKAR	9606.ENSP00000295589	GO Process	GO:0050794	Regulation of cellular process
CCKAR	9606.ENSP00000295589	GO Process	GO:0050896	Response to stimulus
CCKAR	9606.ENSP00000295589	GO Process	GO:0051046	Regulation of secretion
CCKAR	9606.ENSP00000295589	GO Process	GO:0051049	Regulation of transport
CCKAR	9606.ENSP00000295589	GO Process	GO:0051716	Cellular response to stimulus
CCKAR	9606.ENSP00000295589	GO Process	GO:0060322	Head development
CCKAR	9606.ENSP00000295589	GO Process	GO:0061564	Axon development
CCKAR	9606.ENSP00000295589	GO Process	GO:0065007	Biological regulation
CCKAR	9606.ENSP00000295589	GO Process	GO:0065008	Regulation of biological quality
CCKAR	9606.ENSP00000295589	GO Process	GO:0071840	Cellular component organization or biogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:0120036	Plasma membrane bounded cell projection organization
CCKAR	9606.ENSP00000295589	GO Process	GO:0120039	Plasma membrane bounded cell projection morphogenesis
CCKAR	9606.ENSP00000295589	GO Process	GO:1903530	Regulation of secretion by cell
CCKAR	9606.ENSP00000295589	GO Function	GO:0001653	Peptide receptor activity
CCKAR	9606.ENSP00000295589	GO Function	GO:0004888	Transmembrane signaling receptor activity
CCKAR	9606.ENSP00000295589	GO Function	GO:0004930	G protein-coupled receptor activity
CCKAR	9606.ENSP00000295589	GO Function	GO:0004951	Cholecystokinin receptor activity
CCKAR	9606.ENSP00000295589	GO Function	GO:0005488	Binding
CCKAR	9606.ENSP00000295589	GO Function	GO:0008528	G protein-coupled peptide receptor activity
CCKAR	9606.ENSP00000295589	GO Function	GO:0017046	Peptide hormone binding
CCKAR	9606.ENSP00000295589	GO Function	GO:0033218	Amide binding
CCKAR	9606.ENSP00000295589	GO Function	GO:0038023	Signaling receptor activity
CCKAR	9606.ENSP00000295589	GO Function	GO:0042277	Peptide binding
CCKAR	9606.ENSP00000295589	GO Function	GO:0042562	Hormone binding
CCKAR	9606.ENSP00000295589	GO Function	GO:0060089	Molecular transducer activity
CCKAR	9606.ENSP00000295589	GO Component	GO:0005622	Intracellular anatomical structure
CCKAR	9606.ENSP00000295589	GO Component	GO:0005634	Nucleus
CCKAR	9606.ENSP00000295589	GO Component	GO:0005654	Nucleoplasm
CCKAR	9606.ENSP00000295589	GO Component	GO:0005737	Cytoplasm
CCKAR	9606.ENSP00000295589	GO Component	GO:0005829	Cytosol
CCKAR	9606.ENSP00000295589	GO Component	GO:0005886	Plasma membrane
CCKAR	9606.ENSP00000295589	GO Component	GO:0005887	Integral component of plasma membrane
CCKAR	9606.ENSP00000295589	GO Component	GO:0016020	Membrane
CCKAR	9606.ENSP00000295589	GO Component	GO:0016021	Integral component of membrane
CCKAR	9606.ENSP00000295589	GO Component	GO:0031224	Intrinsic component of membrane
CCKAR	9606.ENSP00000295589	GO Component	GO:0031226	Intrinsic component of plasma membrane
CCKAR	9606.ENSP00000295589	GO Component	GO:0031974	Membrane-enclosed lumen
CCKAR	9606.ENSP00000295589	GO Component	GO:0031981	Nuclear lumen
CCKAR	9606.ENSP00000295589	GO Component	GO:0043226	Organelle
CCKAR	9606.ENSP00000295589	GO Component	GO:0043227	Membrane-bounded organelle
CCKAR	9606.ENSP00000295589	GO Component	GO:0043229	Intracellular organelle
CCKAR	9606.ENSP00000295589	GO Component	GO:0043231	Intracellular membrane-bounded organelle
CCKAR	9606.ENSP00000295589	GO Component	GO:0043233	Organelle lumen
CCKAR	9606.ENSP00000295589	GO Component	GO:0070013	Intracellular organelle lumen
CCKAR	9606.ENSP00000295589	GO Component	GO:0071944	Cell periphery
CCKAR	9606.ENSP00000295589	GO Component	GO:0110165	Cellular anatomical entity
CCKAR	9606.ENSP00000295589	STRING clusters	CL:23867	Peptide ligand-binding receptors, and Class B/2 (Secretin family receptors)
CCKAR	9606.ENSP00000295589	STRING clusters	CL:23868	Peptide ligand-binding receptors, and Neuropeptide receptor binding
CCKAR	9606.ENSP00000295589	STRING clusters	CL:23869	Peptide ligand-binding receptors, and Neuropeptide receptor binding
CCKAR	9606.ENSP00000295589	STRING clusters	CL:23870	Peptide ligand-binding receptors
CCKAR	9606.ENSP00000295589	STRING clusters	CL:23871	Peptide ligand-binding receptors
CCKAR	9606.ENSP00000295589	STRING clusters	CL:23872	Mixed, incl. Positive regulation of respiratory gaseous exchange, and Panic disorder
CCKAR	9606.ENSP00000295589	STRING clusters	CL:23914	Cholecystokinin receptor, and Gastrin/cholecystokinin, conserved site
CCKAR	9606.ENSP00000295589	KEGG	hsa04020	Calcium signaling pathway
CCKAR	9606.ENSP00000295589	KEGG	hsa04080	Neuroactive ligand-receptor interaction
CCKAR	9606.ENSP00000295589	KEGG	hsa04911	Insulin secretion
CCKAR	9606.ENSP00000295589	KEGG	hsa04972	Pancreatic secretion
CCKAR	9606.ENSP00000295589	Reactome	HSA-162582	Signal Transduction
CCKAR	9606.ENSP00000295589	Reactome	HSA-372790	Signaling by GPCR
CCKAR	9606.ENSP00000295589	Reactome	HSA-373076	Class A/1 (Rhodopsin-like receptors)
CCKAR	9606.ENSP00000295589	Reactome	HSA-375276	Peptide ligand-binding receptors
CCKAR	9606.ENSP00000295589	Reactome	HSA-388396	GPCR downstream signalling
CCKAR	9606.ENSP00000295589	Reactome	HSA-416476	G alpha (q) signalling events
CCKAR	9606.ENSP00000295589	Reactome	HSA-500792	GPCR ligand binding
CCKAR	9606.ENSP00000295589	WikiPathways	WP24	Peptide GPCRs
CCKAR	9606.ENSP00000295589	WikiPathways	WP455	GPCRs, class A rhodopsin-like
CCKAR	9606.ENSP00000295589	DISEASES	DOID:0060072	Benign neoplasm
CCKAR	9606.ENSP00000295589	DISEASES	DOID:0060084	Cell type benign neoplasm
CCKAR	9606.ENSP00000295589	DISEASES	DOID:0060085	Organ system benign neoplasm
CCKAR	9606.ENSP00000295589	DISEASES	DOID:0060089	Endocrine organ benign neoplasm
CCKAR	9606.ENSP00000295589	DISEASES	DOID:14566	Disease of cellular proliferation
CCKAR	9606.ENSP00000295589	DISEASES	DOID:28	Endocrine system disease
CCKAR	9606.ENSP00000295589	DISEASES	DOID:3829	Pituitary adenoma
CCKAR	9606.ENSP00000295589	DISEASES	DOID:4	Disease
CCKAR	9606.ENSP00000295589	DISEASES	DOID:53	Pituitary gland disease
CCKAR	9606.ENSP00000295589	DISEASES	DOID:5715	Functionless pituitary adenoma
CCKAR	9606.ENSP00000295589	DISEASES	DOID:60009	Pituitary gland benign neoplasm
CCKAR	9606.ENSP00000295589	DISEASES	DOID:657	Adenoma
CCKAR	9606.ENSP00000295589	DISEASES	DOID:7	Disease of anatomical entity
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000042	Animal
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000058	Alimentary canal
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000123	Bladder
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000142	Brain
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000227	Central nervous system
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000282	Head
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000342	Diencephalon
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000478	Forebrain
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000493	Gall bladder
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0000511	Gastrointestinal tract
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0001307	Stomach
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0001365	Thalamus
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0001484	Nervous system
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0001489	Whole body
CCKAR	9606.ENSP00000295589	TISSUES	BTO:0001491	Viscus
CCKAR	9606.ENSP00000295589	COMPARTMENTS	GOCC:0005886	Plasma membrane
